name,price,avalability,needle,composition
DMC Natura XL 02 Black,"8,46",Der Artikel ist nicht mehr im Sortiment und kann nicht mehr bestellt werden.,8 mm,100% Baumwolle
Drops Baby Merino Mix 17 Beige,"3,75",Lieferbar,3 mm,100% Merinowolle
Drops Safran 1 Light-pink,"1,55",Lieferbar,3 mm,100% Baumwolle
Stylecraft Special dk Farbkarte,"4,87",Der Artikel ist nicht mehr im Sortiment und kann nicht mehr bestellt werden.,VerpackungPro Stück,Artikelnummerfntst1961112
